Song Name,Singer Name,Youtube urls,Emotions
TSOP (The Sound of Philadelphia),MFSB,https://www.youtube.com/watch?v=LS2PQs_IRNk,"Reggae, Soul, Melody, Zen"
The Streak,Ray Stevens,https://www.youtube.com/watch?v=bkaiCPgQ6bg,No specific emotions found.
Bennie and the Jets,Elton John,https://www.youtube.com/watch?v=wo1OwRTRKRk,"Soul, Pop, Freedom, Elation, Acceptance"
One Hell of a Woman,Mac Davis,https://www.youtube.com/watch?v=yOlzeTVXBEY,"Country, Pop"
Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,https://www.youtube.com/watch?v=Nbokg0KM-n8,Wonder
Jungle Boogie,Kool & the Gang,https://www.youtube.com/watch?v=-BM5wPOe0xQ,"Jazz, Funk, Pop, Fun"
Midnight at the Oasis,Maria Muldaur,https://www.youtube.com/watch?v=VlrKETxwRvM,"Funk, Pop, Jazz, Fun, Faith, Love"
You Make Me Feel Brand New,The Stylistics,https://www.youtube.com/watch?v=dJm51jsRoo0,"Soul, Pop, Rock, Jazz, Love, Melody, Inspiration"
Show and Tell,Al Wilson,https://www.youtube.com/watch?v=4qgXxFG-Mok,"Success, Connection"
Spiders and Snakes,Jim Stafford,https://www.youtube.com/watch?v=Je3EiwKArlQ,No specific emotions found.
Rock On,David Essex,https://www.youtube.com/watch?v=ckgGUhCuEJI,Rock
Sunshine on My Shoulders,John Denver,https://www.youtube.com/watch?v=diwuu_r6GJE,"Melancholy, Fun"
Sideshow,Blue Magic,https://www.youtube.com/watch?v=_Rs3vqF3nPo,"New wave, Wonder, Success, Pop, Rock, Growth, Excitement, Elation, Anger"
Hooked on a Feeling,Blue Swede,https://www.youtube.com/watch?v=w5jkAkm4JmM,"Pop, Rock, Lust, Love, Inspiration, Country"
Billy Don't Be a Hero,Bo Donaldson and The Heywoods,https://www.youtube.com/watch?v=AjilwTUGE5g,"Adventure, Pop"
Band on the Run,Paul McCartney and Wings,https://www.youtube.com/watch?v=RjlvdcBAKdg,"Victory, Success, Freedom, Pop, Rock, Hope, Disappointment, Melody, Soul, Escape, Surprise, Confidence, Relief, Confrontation, Zen, House, Blues, Love, Inspiration, Country, Joy, Pleasure, Morning"
The Most Beautiful Girl,Charlie Rich,https://www.youtube.com/watch?v=Ew60rig0Ej4,"House, Anger, Country, Pop"
Time in a Bottle,Jim Croce,https://www.youtube.com/watch?v=3yiYsbQ6oEo,"Disco, Love"
Annie's Song,John Denver,https://www.youtube.com/watch?v=eMCihEW3Tlc,"Love, Melody, Folk"
Let Me Be There,Olivia Newton-John,https://www.youtube.com/watch?v=rR8hCFfvZPk,"Harmony, Country, Pop"
Sundown,Gordon Lightfoot,https://www.youtube.com/watch?v=YdBU-jpJJtA,No specific emotions found.
(You're) Having My Baby,Paul Anka,https://www.youtube.com/watch?v=SFHWl-ZyRAg,"Wonder, Success, Pop, Defeat, Love, Country"
Rock Me Gently,Andy Kim,https://www.youtube.com/watch?v=e00sWHSGfqQ,Rock
Boogie Down,Eddie Kendricks,https://www.youtube.com/watch?v=OpU5ZTYlp1A,"Disco, Blues, Pop"
You're Sixteen,Ringo Starr,https://www.youtube.com/watch?v=1U32szYVAY8,"Rock, Melody, Love"
If You Love Me (Let Me Know),Olivia Newton-John,https://www.youtube.com/watch?v=dkMkHpKpLkM,"Success, Pop, Harmony, Love, Country"
Dark Lady,Cher,https://www.youtube.com/watch?v=JXUH7Wk8-WI,No specific emotions found.
Best Thing That Ever Happened to Me,Gladys Knight & the Pips,https://www.youtube.com/watch?v=8FT5QF4JZUA,"Joy, Soul, Pop, Gospel, Country"
Feel Like Makin' Love,Roberta Flack,https://www.youtube.com/watch?v=xVybozv_L3M,Love
Just Don't Want to Be Lonely,The Main Ingredient,https://www.youtube.com/watch?v=MWCixfAT-3I,Pop
Nothing from Nothing,Billy Preston,https://www.youtube.com/watch?v=IX2bE-OBtwk,"Rock, Pleasure, Guilt, Folk"
Rock Your Baby,George McCrae,https://www.youtube.com/watch?v=arxhW1RgDDo,"Pop, Rock, Disco, House, Indie, Love, Inspiration"
Top of the World,The Carpenters,https://www.youtube.com/watch?v=SKyrZiKVRvU,No specific emotions found.
The Joker,Steve Miller Band,https://www.youtube.com/watch?v=dV3AziKTBUo,"Victory, Success, Pop, Freedom, Pride, Disco, Amusement, Folk, Fun, Obsession, Shame, Defeat, Escape, Crossover, Lust, Surprise, Identity, Confidence, Contradiction, Reluctance, Trust, Zen, Wonder, Courage, House, Fear, Regret, Elation, Love, Believe, Inspiration, Country, Joy, Revenge, Conflict, Unity, Empathy, Guilt, Adventure, Desire, Longing"
I've Got to Use My Imagination,Gladys Knight & the Pips,https://www.youtube.com/watch?v=3i6mp6tBGZY,"Soul, Success, Pop"
The Show Must Go On,Three Dog Night,https://www.youtube.com/watch?v=xtAlzo_pqys,Panic
Rock the Boat,The Hues Corporation,https://www.youtube.com/watch?v=t3w9RyL2tG0,Rock
Smokin' in the Boys Room,Brownsville Station,https://www.youtube.com/watch?v=nK-hzAyTgn0,No specific emotions found.
Living for the City,Stevie Wonder,https://www.youtube.com/watch?v=7_RgaYueeh4,"Soul, Escape, Wonder, Sacrifice, Hope, Blues, Country"
Then Came You,"Dionne Warwick,The Spinners,",https://www.youtube.com/watch?v=L_PzcgyqMwE,No specific emotions found.
The Night Chicago Died,Paper Lace,https://www.youtube.com/watch?v=p-L0NpaErkk,"Confrontation, Pop, Success, Anguish"
The Entertainer,Marvin Hamlisch,https://www.youtube.com/watch?v=XhFbKnXVg30,No specific emotions found.
Waterloo,ABBA,https://www.youtube.com/watch?v=3FsVeMz1F5c,No specific emotions found.
The Air That I Breathe,The Hollies,https://www.youtube.com/watch?v=70rm31ClOiE,"Soul, Wonder, Pop, Rock, Melody"
Love Will Keep Us Together,Captain & Tennille,https://www.youtube.com/watch?v=_QNEf9oGw8o,"Melody, Pop, Hope, Love, Acceptance"
Rhinestone Cowboy,Glen Campbell,https://www.youtube.com/watch?v=8kAU3B9Pi_U,"Joy, Soul, Pop, Pride, Country"
